Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,ticker,name,sector,industry
S&P 500,34.12,4.79,0.20%,166.70M,3.57%,28.23B,18.94,8.63,-25.87%,165.50M,10.34%,815.00M,2.86,2.08,79.70%,2.17%,7.26%,3.36B,8.41,-2.90%,0.09%,1.81,19.97%,24.98,6.55,13.83%,16.10%,161.81,30.92%,5.65,28.96,11.95%,19.50%,67.90 - 168.95,6.96%,2.00,55.55,3.20%,19.60%,-3.21%,1.19,1.22%,3.40,0.60%,48.10%,140.82%,5.19,10000,5.20,15.60%,26.60%,62.21,3.58% 2.99%,Yes,0.00,15.50%,24.30%,0.73,162.94,Yes,0.00,Jan 28 AMC,37.70%,1.98M,163.52,2.30,5.07%,10.36%,21.55%,"1,434,783",0.36%,SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors
S&P 500,17.50,2.18,0.30%,583.80M,2.03%,22.36B,10.27,3.72,-6.40%,581.58M,17.99%,1.35B,5.74,0.87,-,1.69%,38.25%,16.66B,1.34,48.90%,0.04%,1.99,66.54%,19.47,1.96,86.22%,1.40%,42.68,4.81%,23.13,1.65,3.05%,11.20%,12.15 - 40.69,9.97%,0.88,3.10,14.90%,33.50%,-6.19%,1.81,2.31%,-,9.30%,-,214.16%,1.17,16500,-,-23.00%,63.60%,64.37,3.50% 2.97%,Yes,1.39,-67.50%,8.10%,1.41,39.91,Yes,1.39,Jan 29 BMO,40.20%,4.93M,38.17,1.80,6.29%,15.33%,49.39%,"7,097,087",-4.36%,SYF,Synchrony Financial,Financial,Credit Services
S&P 500,52.75,4.62,0.10%,375.70M,0.16%,91.60B,26.69,9.13,-32.95%,347.85M,1.50%,1.76B,6.07,2.55,74.40%,0.81%,10.33%,14.22B,6.44,4.60%,-0.04%,2.56,25.01%,34.56,7.05,27.24%,5.70%,243.17,12.22%,19.04,12.79,8.69%,13.60%,124.54 - 247.44,-0.59%,2.52,64.78,32.40%,9.30%,-1.55%,0.94,1.03%,2.20,9.00%,64.10%,95.60%,4.70,40000,2.90,4.20%,17.00%,57.56,1.90% 1.85%,Yes,1.01,33.30%,12.30%,0.90,245.21,Yes,0.92,Jan 27 AMC,60.20%,1.10M,243.60,2.20,1.20%,3.16%,18.77%,"991,080",-0.66%,SYK,Stryker Corporation,Healthcare,Medical Devices
S&P 500,-,-0.06,0.10%,509.13M,0.91%,39.10B,24.27,3.17,-93.73%,508.65M,6.29%,-21.40M,-,0.36,83.90%,1.50%,18.97%,49.37B,0.79,-87.00%,0.07%,2.54,38.83%,2.55,30.13,79.32%,-0.10%,77.56,-7.59%,11.76,6.53,24.58%,-1.20%,26.00 - 84.12,3.46%,1.80,44.80,-18.30%,3.90%,-8.67%,1.39,2.34%,1.30,1.70%,18.60%,195.50%,2.14,57000,1.70,-23.00%,0.90%,57.23,2.46% 2.81%,Yes,10.58,-51.50%,0.00%,0.66,77.02,Yes,9.56,Feb 02 BMO,-,3.00M,76.83,2.50,2.91%,4.51%,25.71%,"1,988,361",-0.25%,SYY,Sysco Corporation,Consumer Defensive,Food Distribution
S&P 500,18.97,1.52,0.08%,7.15B,0.77%,206.29B,9.09,3.17,1.85%,7.12B,-1.94%,10.96B,-,0.73,53.50%,1.82%,7.74%,172.89B,1.19,-30.90%,-0.04%,3.02,-4.41%,24.56,1.17,0.60%,2.00%,31.04,-26.15%,1.36,21.14,-1.74%,6.10%,26.08 - 39.14,0.24%,2.08,15.85,8.90%,7.00%,-26.34%,0.73,7.21%,0.80,6.50%,53.80%,10.54%,0.53,235000,0.80,-5.00%,13.00%,46.31,1.93% 1.60%,Yes,0.91,-23.40%,6.30%,0.65,28.96,Yes,0.87,Jan 27 BMO,136.00%,42.99M,28.83,2.80,-0.46%,-1.17%,-2.05%,"28,045,402",-0.45%,T,AT&T Inc.,Communication Services,Telecom Services
-,21.32,0.81,-,3.13B,-4.21%,54.09B,20.12,0.86,-,3.13B,-8.37%,-,36.76,-,3.50%,0.24%,3.78%,-,-,430.80%,-,4.00,-0.80%,12.55,1.38,24.60%,-,23.60,-13.15%,-,-,0.58%,-,12.43 - 20.42,-4.95%,0.85,-,-,-,-15.28%,-,4.91%,-,-,-,39.18%,0.32,47495,-,-2.70%,-,34.47,1.29% 1.40%,Yes,-,-94.00%,-,2.46,17.58,Yes,-,-,-,1.90M,17.30,2.00,-4.20%,-3.91%,-3.62%,"4,589,089",-1.59%,TAK,Takeda Pharmaceutical Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic
-,15608.00,0.01,83.90%,601.18M,18.58%,46.49B,75.04,1.04,0.00%,376.88M,11.47%,8.10M,-,0.07,-,3.02%,-2.84%,3.65B,12.75,-130.30%,-0.08%,3.52,-0.34%,4.50,17.34,105.94%,0.10%,83.59,57.98%,4.68,16.68,-,0.30%,44.24 - 83.68,9.13%,-,-,-27.40%,-3.10%,-6.73%,0.12,-,1.20,49.80%,53.80%,76.40%,3.46,45271,1.20,17.80%,-1.60%,69.31,8.10% 4.59%,Yes,0.10,198.70%,0.20%,5.18,67.74,Yes,0.10,Jan 21 BMO,0.00%,3.23M,78.04,1.90,14.81%,11.59%,13.96%,"16,223,518",15.21%,TAL,TAL Education Group,Consumer Defensive,Education & Training Services
S&P 500,18.81,2.69,0.10%,216.90M,-3.14%,11.20B,11.97,4.23,0.35%,176.37M,11.29%,584.50M,-,0.77,87.50%,6.46%,45.97%,9.85B,1.14,-78.40%,0.37%,4.55,41.48%,62.30,0.81,1.05%,2.00%,47.58,-10.32%,3.31,15.31,-2.10%,4.40%,32.11 - 61.94,12.08%,-,8.88,-16.60%,2.40%,-18.23%,1.18,-,0.50,20.60%,39.00%,57.74%,1.41,17700,0.60,-3.10%,12.00%,61.24,2.75% 2.65%,Yes,0.62,184.90%,5.90%,0.62,51.14,Yes,0.53,Oct 29 BMO,42.30%,2.51M,50.65,2.70,4.99%,9.06%,27.48%,"1,560,759",-0.96%,TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers
-,-,-0.72,4.00%,600.68M,2.15%,19.90B,6.54,5.15,0.00%,566.77M,-2.66%,-346.50M,-,0.29,71.90%,2.23%,12.00%,3.35B,5.94,457.30%,0.02%,3.33,23.50%,25.39,1.33,271.70%,-1.10%,36.72,-2.21%,12.40,2.72,2.17%,-2.30%,20.10 - 37.45,-0.12%,-,-,68.90%,2.00%,-10.04%,1.33,-,1.10,37.20%,77.60%,67.61%,1.03,44300,1.10,-47.90%,-3.80%,51.75,2.50% 2.90%,Yes,0.67,93.10%,-10.30%,1.45,34.58,Yes,0.33,Dec 01 AMC,-,3.80M,33.69,2.30,1.55%,-0.46%,15.60%,"5,889,892",-2.57%,TCOM,Trip.com Group Limited,Consumer Cyclical,Travel Services
-,11.61,5.08,0.05%,1.81B,0.39%,107.38B,11.44,5.16,0.00%,1.79B,5.04%,9.20B,3.88,1.12,66.70%,0.35%,30.67%,28.21B,3.81,2.90%,0.14%,4.25,28.54%,39.22,1.50,12.65%,0.70%,64.56,4.50%,275.93,0.21,2.99%,13.40%,33.74 - 59.97,4.50%,2.49,0.60,8.80%,5.20%,-1.68%,1.04,4.22%,-,7.50%,-,74.75%,0.82,89598,-,-26.30%,51.50%,65.03,1.30% 1.38%,Yes,3.35,81.70%,32.60%,0.53,59.19,Yes,0.20,Dec 03 BMO,61.10%,1.48M,58.96,2.20,2.60%,7.04%,24.29%,"1,039,149",-0.39%,TD,The Toronto-Dominion Bank,Financial,Banks - Diversified
S&P 500,70.57,8.13,0.40%,57.30M,-6.06%,32.37B,34.58,16.60,-42.70%,52.58M,-5.65%,467.00M,16.70,2.10,99.00%,3.84%,16.33%,5.10B,6.34,-37.00%,0.09%,6.48,28.82%,-69.32,-,45.69%,2.90%,646.80,-10.88%,83.63,6.86,4.23%,-12.30%,200.06 - 673.51,-7.25%,-,-,0.80%,10.20%,-14.78%,1.62,-,3.50,13.50%,52.80%,186.90%,15.15,14200,4.30,-14.70%,33.80%,39.79,2.76% 2.42%,Yes,-,-52.70%,10.10%,0.68,577.49,Yes,-,Nov 12 BMO,0.00%,311.44K,573.98,2.20,-4.78%,-3.39%,20.22%,"213,336",-0.61%,TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense
-,-,-1.43,0.80%,144.96M,5.91%,35.63B,-,-0.50,-28.67%,127.84M,25.04%,-110.20M,-,-0.26,61.40%,11.98%,10.47%,867.10M,41.10,6.70%,14.10%,4.33,9.61%,26.68,9.20,63.10%,-4.90%,245.18,142.06%,8.20,29.93,-0.92%,-8.00%,93.56 - 253.00,22.77%,-,468.87,33.10%,-4.80%,-2.96%,0.23,-,6.50,66.30%,62.70%,162.40%,10.65,3276,6.50,109.30%,-8.40%,69.98,4.56% 4.82%,Yes,0.44,-52.20%,-12.70%,0.73,246.74,Yes,0.43,Oct 28 AMC,-,3.54M,245.50,2.10,14.22%,22.11%,23.35%,"2,593,580",-0.50%,TDOC,"Teladoc Health, Inc.",Healthcare,Health Information Services
S&P 500,38.02,10.20,0.30%,36.80M,0.19%,14.53B,33.87,11.45,0.00%,36.40M,1.90%,385.50M,1.31,3.11,89.10%,1.06%,14.20%,3.11B,4.67,19.20%,0.24%,1.54,15.10%,82.23,4.71,11.67%,8.20%,405.60,3.28%,12.12,31.98,29.10%,13.60%,195.34 - 398.99,-1.10%,-,30.63,13.30%,11.80%,-2.83%,1.05,-,1.70,5.70%,38.40%,98.46%,10.35,11790,2.30,-6.60%,15.10%,55.07,1.75% 2.89%,Yes,0.26,-12.50%,12.40%,1.35,387.75,Yes,0.25,Oct 21 BMO,0.00%,250.07K,387.68,1.60,2.02%,1.62%,14.83%,"336,807",-0.02%,TDY,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments
-,-,-1.95,1.23%,248.02M,1.87%,58.37B,164.22,1.43,0.00%,128.30M,-5.49%,-441.50M,-,0.32,94.40%,5.37%,11.00%,1.71B,34.13,46.40%,0.18%,4.15,22.42%,2.78,84.24,26.31%,-11.70%,242.11,78.14%,8.76,26.72,20.00%,-59.30%,110.01 - 250.03,0.13%,-,108.07,38.15%,0.60%,-6.34%,0.82,-,0.90,38.30%,83.60%,112.87%,7.29,4907,0.90,26.40%,1.80%,54.29,3.06% 2.91%,Yes,1.68,-131.50%,-25.80%,0.73,231.61,Yes,0.32,Jan 28 AMC,-,1.66M,234.18,2.00,0.31%,5.00%,24.00%,"1,222,947",1.11%,TEAM,Atlassian Corporation Plc,Technology,Software - Application
-,56.65,6.28,0.60%,38.54M,7.59%,13.32B,52.72,6.75,-30.33%,38.38M,11.07%,248.10M,6.29,1.37,96.00%,0.92%,34.48%,759.60M,17.53,135.60%,0.60%,2.12,28.90%,37.35,9.52,16.94%,-,323.56,62.28%,7.68,46.33,9.00%,-,155.17 - 361.47,12.01%,1.28,-,15.00%,6.30%,-1.60%,1.10,0.36%,4.10,10.30%,66.20%,129.22%,9.54,2300,5.10,11.50%,-,74.84,2.92% 2.83%,Yes,0.22,129.90%,-,0.89,356.67,Yes,0.22,Feb 02 BMO,-,166.90K,355.68,2.20,8.27%,13.25%,32.37%,"148,129",-0.28%,TECH,Bio-Techne Corporation,Healthcare,Biotechnology
-,-,-3.22,1.40%,531.00M,8.32%,10.99B,11.31,1.82,0.00%,523.71M,15.10%,-1768.90M,-,0.27,66.60%,1.75%,47.74%,7.16B,1.54,-120.20%,0.07%,2.32,89.85%,30.97,0.66,156.70%,-5.70%,32.12,33.55%,0.60,34.46,-12.51%,-10.60%,5.60 - 21.34,13.39%,0.16,-,-30.10%,-1.40%,-3.56%,1.29,0.78%,0.70,6.80%,14.60%,267.50%,0.78,10100,1.30,-24.50%,-30.40%,65.48,4.52% 3.81%,Yes,0.36,-82.60%,-24.70%,0.72,20.77,Yes,0.35,Oct 27 BMO,-,3.96M,20.58,2.20,8.65%,18.01%,62.15%,"3,001,098",-0.91%,TECK,Teck Resources Limited,Basic Materials,Other Industrial Metals & Mining
-,100.44,0.05,5.60%,5.28B,-6.61%,25.54B,8.99,0.50,0.00%,5.14B,9.71%,227.30M,4.10,-,0.80%,0.12%,30.64%,54.17B,0.47,-70.60%,0.26%,2.44,0.54%,2.50,1.81,27.02%,0.20%,7.35,-28.48%,1.97,2.30,24.50%,1.40%,3.06 - 6.45,11.88%,0.45,6.24,-20.50%,4.70%,-29.89%,0.85,9.96%,1.10,2.20%,92.10%,47.68%,0.12,113392,1.20,-12.10%,8.00%,57.56,1.47% 1.55%,Yes,5.35,65.00%,0.40%,0.49,4.60,Yes,4.32,-,439.10%,2.47M,4.52,3.00,5.44%,8.31%,10.88%,"1,242,657",-1.74%,TEF,"Telefonica, S.A.",Communication Services,Telecom Services
S&P 500,-,-0.77,0.20%,329.00M,0.31%,43.86B,21.42,6.08,-49.94%,321.80M,10.91%,-259.00M,-,1.27,95.10%,0.91%,22.91%,12.17B,3.60,-113.60%,0.13%,1.78,50.16%,28.52,4.57,13.98%,-1.20%,124.56,31.69%,2.81,46.41,11.00%,-2.50%,48.62 - 131.97,7.63%,0.50,54.35,-17.70%,-1.80%,-1.26%,1.38,0.38%,1.00,-0.10%,30.70%,168.02%,2.41,82000,1.60,-1.20%,4.40%,70.28,1.56% 1.79%,Yes,0.44,-37.90%,-2.00%,0.91,130.38,Yes,0.37,Jan 27 BMO,-,1.65M,130.31,2.10,4.74%,10.34%,36.83%,"1,498,081",-0.05%,TEL,TE Connectivity Ltd.,Technology,Electronic Components
S&P 500,35.77,3.92,0.40%,166.01M,3.10%,23.47B,28.58,4.91,-41.50%,165.61M,16.29%,712.90M,1.46,1.00,99.30%,5.19%,59.47%,3.02B,7.78,24.70%,-0.03%,5.83,56.71%,12.01,11.68,9.12%,23.20%,112.79,90.57%,7.37,19.04,24.54%,42.10%,42.87 - 143.40,16.97%,0.40,40.86,48.10%,26.40%,-2.20%,1.35,0.29%,3.10,6.80%,57.00%,227.13%,3.68,5400,3.30,40.80%,28.70%,75.75,2.53% 2.67%,Yes,0.20,60.50%,23.60%,0.86,138.61,Yes,0.20,Jan 27 AMC,9.10%,1.48M,140.24,2.20,10.49%,19.75%,59.19%,"1,301,649",1.18%,TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials
-,-,-3.68,1.02%,1.10B,3.64%,12.82B,4.55,2.63,-0.03%,1.08B,19.58%,-4031.00M,-,0.63,51.80%,3.12%,30.96%,16.20B,0.79,59.40%,0.21%,3.74,-1.56%,8.75,1.37,4.61%,-7.40%,11.82,14.55%,1.71,7.02,3.33%,-31.60%,6.25 - 13.76,24.04%,-,14.22,-17.70%,-0.40%,-13.01%,1.52,-,0.60,-3.60%,47.30%,91.52%,0.45,40039,1.00,-2.80%,-23.60%,64.48,4.21% 4.12%,Yes,2.67,-,-24.90%,0.64,12.18,Yes,2.45,Feb 10 BMO,-,9.07M,11.97,2.80,11.61%,17.10%,13.21%,"5,833,364",-1.72%,TEVA,Teva Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic
S&P 500,17.44,2.93,0.10%,1.35B,-1.94%,70.40B,13.83,3.69,-0.36%,1.34B,11.26%,3.66B,-,0.97,74.50%,0.68%,21.34%,14.75B,4.77,-4.10%,0.50%,1.63,37.40%,45.86,1.11,1.04%,0.70%,54.89,-9.35%,34.31,1.49,-9.10%,5.90%,24.01 - 56.53,6.55%,1.80,-,6.40%,6.00%,-9.66%,1.32,3.52%,-,8.90%,-,112.70%,1.36,59000,-,63.30%,84.90%,57.62,2.22% 2.53%,Yes,0.65,-17.00%,24.80%,1.08,51.63,Yes,0.65,Jan 21 BMO,60.90%,5.61M,51.07,2.30,3.47%,6.01%,26.03%,"6,040,217",-1.08%,TFC,Truist Financial Corporation,Financial,Banks - Regional
S&P 500,50.05,7.77,0.10%,46.53M,-2.27%,18.07B,30.74,12.65,-7.53%,46.41M,-4.94%,367.00M,4.17,3.05,92.80%,1.36%,7.44%,2.51B,7.21,133.70%,-0.03%,2.64,-0.18%,69.55,5.59,20.43%,5.60%,439.18,0.61%,7.48,51.99,12.00%,11.90%,221.27 - 414.72,-5.55%,1.36,73.96,19.10%,11.10%,-6.27%,1.18,0.35%,1.90,7.10%,53.40%,75.68%,9.32,14400,3.00,-3.10%,17.80%,45.75,2.48% 2.13%,Yes,0.66,-49.20%,14.70%,0.69,393.29,Yes,0.63,Oct 29 BMO,17.20%,239.44K,388.72,1.60,-2.94%,0.55%,6.51%,"164,889",-1.16%,TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies
S&P 500,25.35,7.55,0.20%,500.60M,-2.82%,97.36B,22.09,8.66,-21.95%,499.63M,12.23%,3.82B,1.87,2.44,82.80%,1.03%,16.01%,88.62B,1.10,16.80%,0.17%,1.31,55.33%,26.61,7.19,-5.86%,8.20%,197.97,67.93%,11.78,16.24,13.59%,31.30%,90.17 - 199.96,8.35%,2.72,16.14,10.40%,16.00%,-4.35%,0.99,1.42%,0.40,1.50%,29.20%,112.12%,4.18,368000,1.00,21.30%,6.70%,61.46,2.55% 2.31%,Yes,0.95,46.30%,4.30%,1.17,188.30,Yes,0.94,Nov 18 BMO,34.90%,3.94M,191.27,2.10,3.72%,8.64%,33.49%,"4,586,624",1.58%,TGT,Target Corporation,Consumer Defensive,Discount Stores
S&P 500,113.06,0.60,0.10%,1.20B,-0.10%,81.19B,25.55,2.66,-9.15%,1.20B,0.53%,749.70M,24.34,0.62,92.50%,1.15%,23.90%,33.40B,2.43,9.80%,0.01%,1.91,27.36%,4.64,14.67,538.85%,2.80%,74.64,9.02%,8.87,7.67,4.65%,14.30%,32.72 - 70.96,-0.34%,1.04,15.46,11.10%,40.20%,-4.08%,0.97,1.53%,1.00,7.50%,26.30%,108.01%,1.35,286000,1.40,-3.20%,3.10%,54.17,1.92% 1.89%,Yes,1.11,5.50%,2.20%,0.60,68.29,Yes,0.98,Nov 18 BMO,78.70%,7.20M,68.06,1.80,-0.03%,4.15%,21.58%,"4,314,254",-0.34%,TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail
-,18.36,1.34,52.50%,990.62M,-0.20%,24.44B,-,-,0.00%,980.72M,0.12%,1.33B,2.11,-,3.80%,0.08%,33.55%,9.60B,2.55,7.10%,0.29%,2.65,19.34%,7.52,3.28,-,8.40%,-,-11.03%,1.81,13.64,8.70%,18.70%,15.86 - 28.57,4.93%,0.79,14.39,5.40%,21.40%,-13.61%,0.79,3.20%,0.80,8.60%,70.10%,55.62%,0.60,26044,0.80,-1.90%,31.10%,54.99,1.88% 1.68%,No,0.57,-5.80%,13.60%,0.31,24.69,Yes,0.37,-,0.00%,298.53K,24.68,1.00,1.02%,5.65%,18.00%,"95,092",-0.04%,TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,Telecom Services
-,15.54,9.74,8.50%,1.40B,0.46%,251.94B,14.40,10.51,0.00%,1.25B,-1.58%,13.70B,1.97,-,1.20%,0.07%,15.25%,250.69B,1.00,13.10%,-0.10%,3.70,19.86%,144.73,1.05,33.13%,2.60%,178.82,6.91%,50.18,3.02,7.90%,6.90%,108.01 - 156.30,-2.09%,4.24,31.45,1.20%,3.40%,-3.17%,0.61,2.80%,0.90,1.90%,16.60%,40.12%,2.36,359542,1.10,-11.30%,6.00%,54.49,1.11% 1.10%,Yes,1.12,-10.90%,5.50%,2.00,149.98,Yes,0.58,-,-,238.96K,151.34,1.00,-0.37%,3.33%,14.01%,"469,658",0.91%,TM,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers
-,70.71,0.37,9.67%,1.66B,23.03%,42.65B,48.10,0.54,0.00%,605.81M,39.44%,617.90M,29.22,0.13,73.80%,13.19%,85.72%,4.34B,9.82,112.30%,0.00%,7.30,61.31%,4.60,5.66,18.64%,7.00%,18.98,94.47%,0.91,28.52,2.42%,8.60%,9.22 - 28.84,35.24%,-,-,-,7.60%,-9.78%,-,-,3.50,-,32.30%,182.21%,1.21,3610,3.50,16.40%,13.40%,80.48,7.01% 4.62%,Yes,0.11,9.30%,14.20%,1.01,26.10,Yes,0.11,Nov 10 AMC,0.00%,10.95M,26.02,2.00,25.62%,41.01%,72.59%,"11,774,282",-0.31%,TME,Tencent Music Entertainment Group,Communication Services,Internet Content & Information
S&P 500,41.98,12.21,0.10%,396.00M,2.12%,200.55B,24.78,20.68,-43.32%,395.74M,9.79%,4.88B,2.51,6.47,91.40%,0.70%,10.12%,28.50B,7.04,22.10%,0.03%,1.56,24.73%,80.36,6.38,9.83%,8.00%,517.55,50.67%,-,-,16.73%,16.30%,250.21 - 532.57,10.00%,0.88,37.42,14.30%,8.50%,-3.79%,0.84,0.17%,2.30,8.60%,47.30%,104.77%,11.39,75000,2.90,35.90%,20.90%,65.41,2.19% 2.25%,Yes,0.66,148.40%,17.10%,0.84,515.84,Yes,0.66,Feb 01 BMO,6.70%,1.76M,512.36,1.80,5.86%,7.78%,23.90%,"1,514,396",-0.67%,TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research
S&P 500,46.59,2.80,0.20%,1.24B,1.48%,158.56B,44.81,2.91,-3.74%,586.75M,-1.15%,2.75B,-,0.51,42.00%,2.01%,15.33%,59.93B,2.65,19.40%,1.98%,3.17,24.27%,52.07,2.50,7.98%,2.20%,152.23,58.10%,5.40,24.13,-1.40%,6.60%,63.50 - 135.54,-3.30%,-,-,67.70%,7.90%,-3.79%,0.57,-,0.90,8.80%,60.40%,105.35%,2.98,53000,1.00,74.20%,10.30%,49.96,2.97% 2.23%,Yes,1.12,-0.60%,5.10%,0.69,132.30,Yes,1.05,Nov 05 AMC,0.00%,3.72M,130.40,1.90,-0.84%,0.12%,16.66%,"2,688,341",-1.44%,TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services
-,-,-2.28,8.30%,2.95B,-3.07%,121.81B,14.52,3.04,0.00%,2.44B,1.42%,-5833.00M,-,0.38,5.50%,0.21%,32.78%,130.74B,0.93,-1.70%,-0.03%,1.95,16.63%,34.66,1.27,129.39%,-2.20%,51.94,-16.47%,13.28,3.33,2.00%,-5.40%,22.13 - 53.62,5.44%,3.10,-,17.50%,5.80%,-17.59%,1.00,7.02%,1.10,-3.60%,36.50%,99.68%,1.08,107776,1.30,-36.00%,-2.70%,50.57,1.90% 1.85%,Yes,0.75,-96.20%,-4.50%,0.85,45.26,Yes,0.60,-,-,2.64M,44.19,2.50,0.13%,2.55%,15.25%,"2,238,678",-2.36%,TOT,TOTAL SE,Energy,Oil & Gas Integrated
-,66.06,1.44,0.30%,115.77M,3.29%,11.12B,52.62,1.81,-6.03%,115.17M,13.48%,167.80M,3.64,0.36,-,7.37%,25.18%,817.30M,13.61,8.30%,0.32%,11.49,40.21%,4.70,20.25,17.24%,25.70%,82.92,91.07%,0.17,553.33,18.17%,34.50%,28.11 - 95.23,13.70%,-,-,31.20%,31.90%,-0.04%,1.47,-,2.60,13.70%,41.40%,238.63%,2.85,1332,3.10,19.00%,27.10%,74.01,2.87% 3.35%,Yes,0.00,2.70%,20.50%,0.91,95.18,Yes,0.00,Nov 02 AMC,0.00%,739.05K,95.19,2.40,8.52%,18.51%,39.42%,"674,927",0.01%,TREX,"Trex Company, Inc.",Industrials,Building Products & Equipment
-,59.50,1.37,55.00%,497.09M,2.59%,39.54B,39.74,2.05,0.00%,169.05M,0.83%,683.00M,3.03,0.46,38.10%,0.73%,-1.03%,5.95B,6.64,161.70%,-1.64%,3.19,15.80%,19.01,4.29,16.07%,11.00%,46.09,3.45%,3.51,23.23,19.65%,20.20%,52.23 - 89.55,-0.46%,1.52,146.99,-22.10%,9.10%,-8.98%,0.48,1.86%,1.50,-14.10%,94.60%,56.06%,1.30,24400,1.50,2.10%,19.70%,54.70,1.92% 1.51%,Yes,0.43,433.80%,31.60%,0.72,82.10,Yes,0.42,Nov 03 BMO,39.70%,388.06K,81.51,2.70,1.13%,0.65%,8.53%,"279,337",-0.72%,TRI,Thomson Reuters Corporation,Industrials,Consulting Services
-,36.19,1.94,0.30%,250.70M,0.41%,17.69B,30.91,2.28,-18.76%,249.00M,6.29%,488.90M,5.17,0.51,97.70%,0.90%,35.42%,3.14B,5.63,69.50%,3.60%,1.15,58.21%,13.36,5.26,7.26%,7.30%,61.09,58.93%,0.73,96.16,7.00%,15.30%,20.01 - 74.00,5.30%,-,32.38,20.20%,11.00%,-4.99%,1.48,-,0.70,6.40%,55.60%,251.37%,2.19,11484,0.90,1.00%,12.30%,61.21,3.89% 3.18%,Yes,0.50,8.20%,15.60%,1.44,71.42,Yes,0.42,Nov 04 AMC,0.00%,1.96M,70.31,2.00,2.49%,10.13%,42.80%,"2,860,820",-1.55%,TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments
S&P 500,17.55,8.93,1.00%,227.00M,-0.36%,35.95B,13.98,11.21,-6.47%,222.36M,4.12%,2.08B,1.21,2.58,72.00%,1.99%,6.75%,5.94B,6.05,17.90%,0.09%,4.21,15.01%,31.40,4.99,22.20%,22.10%,167.39,18.16%,9.71,16.13,14.47%,30.30%,82.51 - 161.13,3.47%,3.60,39.56,13.90%,24.10%,-2.79%,1.18,2.30%,-,6.70%,-,89.84%,3.60,7365,-,11.90%,43.30%,58.50,1.87% 2.27%,Yes,0.00,22.00%,34.90%,1.08,159.54,Yes,0.00,Jan 28 BMO,38.30%,1.05M,156.64,2.70,2.69%,5.87%,18.77%,"1,130,359",-1.82%,TROW,"T. Rowe Price Group, Inc.",Financial,Asset Management
-,12.11,3.74,0.05%,940.00M,4.79%,42.47B,13.61,3.33,0.00%,938.81M,5.52%,3.51B,6.06,0.80,60.20%,1.41%,5.40%,10.26B,4.14,14.40%,5.74%,6.95,0.73%,23.76,1.91,3.68%,4.30%,54.51,-16.44%,1.26,35.94,2.00%,15.90%,32.37 - 57.92,11.22%,2.54,13.41,11.70%,6.60%,-21.81%,0.80,5.61%,0.50,5.40%,69.70%,39.91%,1.16,7305,0.50,2.00%,44.30%,64.33,3.24% 2.56%,Yes,1.78,21.40%,34.30%,1.26,44.25,Yes,1.62,Oct 29 BMO,104.90%,1.91M,45.29,1.70,7.51%,5.13%,2.12%,"2,377,163",2.35%,TRP,TC Energy Corporation,Energy,Oil & Gas Midstream
-,54.82,1.69,0.20%,190.20M,-1.24%,17.88B,27.83,3.32,-24.71%,189.52M,-6.92%,324.30M,4.53,0.80,99.40%,0.86%,8.48%,2.70B,6.62,23.40%,0.06%,1.36,1.56%,12.10,7.64,11.32%,4.60%,104.47,-1.50%,3.11,29.76,12.11%,14.80%,52.50 - 102.80,-6.79%,0.30,35.85,78.70%,8.80%,-10.04%,1.22,0.32%,2.00,15.30%,66.90%,76.15%,2.16,7100,2.00,1.00%,21.00%,41.93,2.19% 2.38%,Yes,1.57,11.90%,12.00%,0.74,93.30,Yes,1.55,Oct 27 BMO,17.50%,1.19M,92.48,2.00,-3.55%,-2.79%,6.59%,"884,317",-0.88%,TRU,TransUnion,Industrials,Consulting Services
